GEOID,NAME,id,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
1307,GA-07,182,ROB WOODALL,republican,174081,0.603816844201026,RASHID MALIK,democratic,114220,0.396183155798974,-0.20763368840205199
0408,AZ-08,65,Trent Franks,republican,204942,0.6822394439340072,Mark Salazar,green,93954,0.31276714736547756,-1
0405,AZ-05,69,Andy Biggs,republican,205184,0.6393439047265906,Talia Fuentes,democratic,114940,0.35814775230658497,-0.2811961524200057
0403,AZ-03,68,Raul Grijalva,democratic,148973,0.9332335198050504,UNOPPOSED,N/A,0,0.0,1
0402,AZ-02,62,Martha McSally,republican,179793,0.5684417198086572,Matt Heinz,democratic,135870,0.42957276685077983,-0.13886895295787738
0401,AZ-01,61,Tom O'Halleran,democratic,142219,0.5052453949588788,Paul Babeu,republican,121745,0.4325097252073823,0.07273566975149648
0409,AZ-09,67,Kyrsten Sinema,democratic,169055,0.6076918099729683,Dave Giles,republican,108350,0.38947920860412955,0.2182126013688388
0407,AZ-07,66,Ruben Gallego,democratic,119465,0.7497066188052639,Eve Nunez,republican,39286,0.24654061211554512,0.5031660066897188
0404,AZ-04,63,Paul Gosar,republican,203487,0.712906356307785,Mikel Weisser,democratic,81296,0.28481640174752043,-0.42808995456026455
0406,AZ-06,64,David Schweikert,republican,201578,0.6199996309123232,W. John Williamson,democratic,122866,0.377902720791324,-0.24209691012099926
3709,NC-09,343,Robert Pittenger,republican,193452,0.5818227752163203,Christian Cano,democratic,139041,0.41817722478367964,-0.16364555043264067
3705,NC-05,342,Virginia Foxx,republican,207625,0.5840168545646842,Josh Brannon,democratic,147887,0.41598314543531584,-0.16803370912936838
3712,NC-12,353,Alma Adams,democratic,234115,0.6702404809619239,Leon Threatt,republican,115185,0.32975951903807615,0.34048096192384775
3708,NC-08,349,Richard Hudson,republican,189863,0.587729263724868,Thomas Mills,democratic,133182,0.41227073627513194,-0.17545852744973606
3706,NC-06,341,B. Mark Walker,republican,207983,0.5922910437135127,Pete Glidewell,democratic,143167,0.40770895628648723,-0.18458208742702548
3701,NC-01,345,G. K. Butterfield,democratic,240661,0.6862323531005221,"H. Powell Dew, Jr.",republican,101567,0.28961302997727395,0.39661932312324816
3711,NC-11,348,Mark Meadows,republican,230405,0.6408897715767103,Rick Bryson,democratic,129103,0.3591102284232896,-0.28177954315342074
3703,NC-03,344,Walter B. Jones,republican,217531,0.6720121346551293,Ernest T. Reeves,democratic,106170,0.32798786534487073,-0.3440242693102586
3704,NC-04,351,David Price,democratic,279380,0.6821783411184716,Sue Googe,republican,130161,0.31782165888152836,0.3643566822369433
3713,NC-13,350,Ted Budd,republican,199443,0.5610337222778572,Bruce Davis,democratic,156049,0.4389662777221428,-0.12206744455571439
3702,NC-02,352,George Holding,republican,221485,0.5670858008997176,John P. McNeil,democratic,169082,0.4329141991002824,-0.13417160179943521
3707,NC-07,346,David Rouzer,republican,211801,0.60913817995663,J. Wesley Casteen,democratic,135905,0.39086182004337,-0.21827635991326
3710,NC-10,347,Patrick McHenry,republican,220825,0.6313903883983714,Andy Millard,democratic,128919,0.36860961160162864,-0.2627807767967427
2703,MN-03,272,Erik Paulsen,republican,223077,0.5669565703596772,Terri E. Bonoff,democratic,169243,0.43013592094829517,-0.136820649411382
2701,MN-01,274,Tim Walz,democratic,169074,0.5033807018640752,Jim Hagedorn,republican,166526,0.49579459147247357,0.007586110391601675
